image_index,image_name,sigma,psnr_sure,ssim_sure,time_sure,psnr_energy,ssim_energy,time_energy
57,0056.png,50,23.3964,0.578033,90.50,23.3192,0.572648,89.02
58,0057.png,10,28.5589,0.929867,78.55,29.4304,0.935969,77.47
58,0057.png,30,21.9098,0.566880,84.66,22.8245,0.690027,83.57
58,0057.png,50,19.7322,0.351613,90.41,20.4016,0.437983,89.04
59,0058.png,10,31.8868,0.925273,78.52,32.6827,0.929073,77.55
59,0058.png,30,26.0907,0.684704,84.15,26.6200,0.720622,83.83
59,0058.png,50,24.6582,0.612677,90.68,24.6476,0.612467,89.46
60,0059.png,10,33.6522,0.871390,78.71,34.1088,0.882119,77.78
60,0059.png,30,29.4650,0.723549,85.20,29.4142,0.721918,84.02
60,0059.png,50,28.3755,0.687219,90.57,28.3085,0.685320,89.45
61,0060.png,10,33.1532,0.868601,78.59,33.7691,0.884927,77.34
61,0060.png,30,28.9147,0.723943,84.74,29.0320,0.730528,83.68
61,0060.png,50,27.6098,0.684079,90.46,27.3881,0.679037,89.23
62,0061.png,10,33.6849,0.863754,78.12,34.3656,0.886084,77.46
62,0061.png,30,29.4209,0.750287,85.07,29.4033,0.749525,83.82
62,0061.png,50,27.9176,0.703328,90.71,27.7718,0.699980,89.39
63,0062.png,10,33.4142,0.874123,78.67,33.9048,0.886217,77.47
63,0062.png,30,28.1756,0.736801,84.98,28.2524,0.741787,83.79
63,0062.png,50,26.5771,0.692171,90.51,26.5177,0.690180,89.34
64,0063.png,10,37.9040,0.959391,78.48,38.0246,0.960772,77.52
64,0063.png,30,32.4950,0.912569,84.64,30.0509,0.606228,83.11
64,0063.png,50,29.5396,0.863228,90.54,27.5721,0.510047,89.19
65,0064.png,10,31.1865,0.937676,78.23,31.7515,0.940038,77.16
65,0064.png,30,24.8220,0.726529,84.52,25.0403,0.736588,83.45
65,0064.png,50,21.9894,0.545980,90.41,22.2651,0.559291,89.10
66,0065.png,10,29.9371,0.865735,78.11,30.9441,0.880923,77.06
66,0065.png,30,25.0575,0.588104,83.93,25.4031,0.622098,83.50
66,0065.png,50,23.4054,0.492751,89.94,23.3780,0.491991,88.18
67,0066.png,10,32.4869,0.909797,78.33,33.2450,0.917247,77.25
67,0066.png,30,27.1925,0.747398,84.65,27.0383,0.584181,83.41
67,0066.png,50,24.9810,0.648801,90.42,24.6503,0.472753,88.97
68,0067.png,10,30.6026,0.944238,78.55,31.3586,0.949803,77.13
68,0067.png,30,24.2279,0.762557,84.58,24.6727,0.799851,83.53
68,0067.png,50,21.3772,0.589499,90.25,22.0414,0.640175,89.25
